nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
0,0,3,0.0365996015205779,3326944.44444444,63215039.7196466,67167692.0270893,69682294.2750021,72506178.7642714,74657111.7793132,77663792.1688719,81024913.4786254,82845883.2147099,0.1
2,0,1,0.0395698647778493,25605000.0,521960095.871591,530338374.289231,545230008.276285,558988974.194226,561759631.553486,566236523.719015,573279191.662812,579824691.012632,0.1
3,0,2,0.06488524386555,35988888.8888889,439479331.035795,452228740.342757,457984660.149843,469293173.426525,489078721.420644,508539017.602615,527124181.335004,547509217.288968,0.1
4,0,4,0.0609908772749885,19716944.4444444,294098626.493388,304286819.264908,306304595.540728,313746111.824518,335788785.39974,359200526.904964,377537436.779579,394882826.982438,0.1
1,0,0,0.0413336227316051,142320.0,4744000.0,4895908.92269188,5006768.22824266,5080297.35947533,5153826.490708,5248848.75260866,5368757.79738809,5495454.14658899,0.1
5,0,43,0.0413336227316051,0.0,5587308.21608082,5766220.94339039,5896786.94413509,5983386.84116287,6069986.73819066,6181900.45471106,6323124.9051803,6472343.19014929,0.1
6,0,44,0.0413336227316051,0.0,5268912.3451522,5437629.6310383,5560755.25550286,5642420.20916075,5724085.16281864,5829621.41386509,5962798.11035968,6103513.10824234,0.1
7,0,45,0.0413336227316051,0.0,8110959.02469261,8370682.26602506,8560221.74391001,8685936.70166253,8811651.65941506,8974114.07134814,9179126.16066585,9395742.70450266,0.1
8,0,46,0.0413336227316051,0.0,149005.664624661,153777.01583916,157259.027742916,159568.525396171,161878.023049426,164862.60472379,168628.862515486,172608.304648634,0.1
9,0,47,0.0413336227316051,0.0,575035.945171226,593449.328731403,606886.952134631,615799.661388038,624712.370641445,636230.333722793,650764.906045677,666122.189770784,0.1
10,0,48,0.0413336227316051,0.0,453313.00787221,467828.66790505,478421.830879858,485447.908247507,492473.985615157,501553.839723081,513011.750751339,525118.22259303,0.1
11,0,49,0.0413336227316051,0.0,921316.715073612,950818.450047764,972348.072945636,986627.924632664,1000907.77631969,1019361.73906682,1042648.88231406,1067254.16536268,0.1
12,0,50,0.0413336227316051,0.0,1580640.92827153,1631255.06453132,1668191.98596763,1692690.96406808,1717189.94216852,1748850.16099411,1788802.34151672,1831015.96556375,0.1
13,0,51,0.0413336227316051,0.0,694365.440896322,716599.906935394,732826.060060835,743588.304303636,754350.548546437,768258.679995205,785809.417134278,804353.591936392,0.1
14,0,52,0.0413336227316051,0.0,1161928.09959033,1199134.51763561,1226286.8241219,1244296.00669905,1262305.1892762,1285578.59516786,1314947.41661164,1345978.62369256,0.1
15,0,53,0.0413336227316051,0.0,52339.10358515,54015.0683619645,55238.1452307163,56049.3696711285,56860.5941115406,57908.9457282819,59231.8656131367,60629.667733899,0.1
16,0,54,0.0413336227316051,0.0,2670831.44053472,2756354.8658999,2818767.70699754,2860163.97847281,2901560.24994808,2955056.97165201,3022564.73888058,3093893.69937194,0.1
17,0,55,0.0413336227316051,0.0,201826.053440911,208288.780798481,213005.1163978,216133.298121371,219261.479844943,223304.053273452,228405.395885183,233795.493655311,0.1
18,0,56,0.0413336227316051,0.0,3202306.7145958,3304848.65533591,3379681.18017842,3429314.9968591,3478948.81353977,3543090.97860544,3624032.28137824,3709555.1659976,0.1
19,0,57,0.0413336227316051,0.0,652570.906125611,673467.057915088,688716.54301955,698830.997259099,708945.451498647,722016.438917493,738510.780028756,755938.762818836,0.1
20,0,58,0.0413336227316051,0.0,1484086.44107656,1531608.77964596,1566289.38502461,1589291.826989,1612294.26895339,1642020.50255912,1679532.17794632,1719167.1550979,0.1
21,0,59,0.0413336227316051,0.0,1835452.44783789,1894225.97358408,1937117.41189449,1965565.81438724,1994014.21688,2030778.30738477,2077171.08782281,2126189.87393886,0.1
22,0,60,0.0413336227316051,0.0,12440618.6913906,12838983.1512371,13129699.4973749,13322521.5605171,13515343.6236594,13764529.0667605,14078977.3610451,14411224.6102195,0.1
23,0,61,0.0413336227316051,0.0,1096595.45764742,1131709.8412639,1157335.43373216,1174331.99988544,1191328.56603872,1213293.35989625,1241010.83759824,1270297.22867722,0.1
24,0,62,0.0413336227316051,0.0,874500.175085923,902502.784805398,922938.383862361,936492.607503587,950046.831144813,967563.059157782,989666.870489743,1013021.8405907,0.1
25,0,63,0.0413336227316051,0.0,577447.734659908,595938.346792132,609432.329661492,618382.420192841,627332.510724191,638898.781920056,653494.314482112,668916.009024967,0.1
26,0,64,0.0413336227316051,0.0,230423.855657559,237802.321075706,243186.939239922,246758.369596181,250329.799952441,254945.187016175,260769.365875073,266923.21513977,0.1
27,0,65,0.0413336227316051,0.0,1003827.52350638,1035971.35968532,1059429.1214756,1074987.8407743,1090546.560073,1110653.2133229,1136025.89456591,1162834.76489656,0.1
28,0,66,0.0413336227316051,0.0,683980.518467586,705882.446060098,721865.921005434,732467.205233468,743068.489461502,756768.611038642,774056.859532656,792323.687846188,0.1
29,0,67,0.0413336227316051,0.0,218972.180372716,225983.948558808,231100.960321883,234494.896639491,237888.832957099,242274.843102298,247809.570138151,253657.583519102,0.1
30,0,68,0.0413336227316051,0.0,556041.716452067,573846.880610009,586840.640817368,595458.951017137,604077.261216905,615214.77012494,629269.245519354,644119.257026038,0.1
31,0,69,0.0413336227316051,0.0,79470.9630484523,82015.7245312707,83872.8273470241,85104.5791943425,86336.3310416609,87928.1334778698,89936.8365332118,92059.2397285098,0.1
32,0,70,0.0413336227316051,0.0,382683.252833317,394937.258127504,403879.92245567,409811.281351219,415742.640246767,423407.78120882,433080.45899839,443300.64669267,0.1
33,0,71,0.0413336227316051,0.0,553851.480937677,571586.510964088,584529.089049262,593113.45192365,601697.814798038,612791.453315002,626790.56845454,641582.086107924,0.1
34,0,72,0.0413336227316051,0.0,206624.503925975,213240.883781302,218069.351102261,221271.905905289,224474.460708317,228613.14704246,233835.774986349,239354.023294124,0.1
