pp_id,ca_id,supply_pf_id,pp_eff,erg_max,discharge_duration,st_lss_rt,st_lss_hr,factor_lin_0,factor_lin_1,cap_avlb,vc_ramp,vc_om,cap_pwr_leg,cap_pwr_leg_yr2020,cap_pwr_leg_yr2025,cap_pwr_leg_yr2030,cap_pwr_leg_yr2035,cap_pwr_leg_yr2040,cap_pwr_leg_yr2045,cap_pwr_leg_yr2050,erg_chp,erg_chp_yr2020,erg_chp_yr2025,erg_chp_yr2030,erg_chp_yr2035,erg_chp_yr2040,erg_chp_yr2045,erg_chp_yr2050,cap_pwr_leg_old,fc_om_yr2020,fc_om_yr2050,fc_cp_ann_yr2025,fc_cp_ann_yr2020,fc_om_yr2045,fc_om_yr2040,pwr_pot,fc_cp_ann,fc_cp_ann_yr2045,fc_om_yr2025,fc_cp_ann_yr2040,fc_om_yr2035,fc_cp_ann_yr2050,fc_cp_ann_yr2035,fc_cp_ann_yr2030,fc_om_yr2030,fc_om,cap_pwr_leg_hp_fossil,cap_pwr_leg_hp_retr_1pc,cap_pwr_leg_hp_retr_1pc_fossil,cap_pwr_leg_hp_retr_2pc,cap_pwr_leg_hp_retr_2pc_fossil,cap_pwr_leg_yr2020_hp_fossil,cap_pwr_leg_yr2020_hp_retr_1pc,cap_pwr_leg_yr2020_hp_retr_1pc_fossil,cap_pwr_leg_yr2020_hp_retr_2pc,cap_pwr_leg_yr2020_hp_retr_2pc_fossil,cap_pwr_leg_yr2025_hp_fossil,cap_pwr_leg_yr2025_hp_retr_1pc,cap_pwr_leg_yr2025_hp_retr_1pc_fossil,cap_pwr_leg_yr2025_hp_retr_2pc,cap_pwr_leg_yr2025_hp_retr_2pc_fossil,cap_pwr_leg_yr2030_hp_fossil,cap_pwr_leg_yr2030_hp_retr_1pc,cap_pwr_leg_yr2030_hp_retr_1pc_fossil,cap_pwr_leg_yr2030_hp_retr_2pc,cap_pwr_leg_yr2030_hp_retr_2pc_fossil,cap_pwr_leg_yr2035_hp_fossil,cap_pwr_leg_yr2035_hp_retr_1pc,cap_pwr_leg_yr2035_hp_retr_1pc_fossil,cap_pwr_leg_yr2035_hp_retr_2pc,cap_pwr_leg_yr2035_hp_retr_2pc_fossil,cap_pwr_leg_yr2040_hp_fossil,cap_pwr_leg_yr2040_hp_retr_1pc,cap_pwr_leg_yr2040_hp_retr_1pc_fossil,cap_pwr_leg_yr2040_hp_retr_2pc,cap_pwr_leg_yr2040_hp_retr_2pc_fossil,cap_pwr_leg_yr2045_hp_fossil,cap_pwr_leg_yr2045_hp_retr_1pc,cap_pwr_leg_yr2045_hp_retr_1pc_fossil,cap_pwr_leg_yr2045_hp_retr_2pc,cap_pwr_leg_yr2045_hp_retr_2pc_fossil,cap_pwr_leg_yr2050_hp_fossil,cap_pwr_leg_yr2050_hp_retr_1pc,cap_pwr_leg_yr2050_hp_retr_1pc_fossil,cap_pwr_leg_yr2050_hp_retr_2pc,cap_pwr_leg_yr2050_hp_retr_2pc_fossil
226,1.0,,1.0,,24.0,0.2,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,42.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,20.0113382033411,20.0113382033411,20.0113382033411,20.0113382033411,20.0113382033411,20.0113382033411,20.0113382033411,20.0113382033411,,,,,,,,,20.0113382033411,94375.0,62500.0,110209.7114,128592.4542,64500.0,66500.0,501.4067184,146975.1969,66928.7014,85750.0,70186.46365,68500.0,63670.93915,73444.2259,91826.96866,77125.0,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.0,,1.0,,2.0,0.1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,23714.625,5871.0,106530.7363,142194.6312,5871.0,5871.0,,177858.526,35202.94669,17766.75,35202.94669,5871.0,35202.94669,35202.94669,70866.84151,11818.875,29662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.0,42.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,4.13235351766174,4.13235351766174,4.13235351766174,4.13235351766174,4.13235351766174,4.13235351766174,4.13235351766174,4.13235351766174,,,,,,,,,4.13235351766174,94375.0,62500.0,110209.7114,128592.4542,64500.0,66500.0,103.5407925,146975.1969,66928.7014,85750.0,70186.46365,68500.0,63670.93915,73444.2259,91826.96866,77125.0,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0.0,,1.0,,2.0,0.1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,23714.625,5871.0,106530.7363,142194.6312,5871.0,5871.0,,177858.526,35202.94669,17766.75,35202.94669,5871.0,35202.94669,35202.94669,70866.84151,11818.875,29662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0,42.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,17.8420951285453,17.8420951285453,17.8420951285453,17.8420951285453,17.8420951285453,17.8420951285453,17.8420951285453,17.8420951285453,,,,,,,,,17.8420951285453,94375.0,62500.0,110209.7114,128592.4542,64500.0,66500.0,447.053879,146975.1969,66928.7014,85750.0,70186.46365,68500.0,63670.93915,73444.2259,91826.96866,77125.0,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.0,,1.0,,2.0,0.1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,23714.625,5871.0,106530.7363,142194.6312,5871.0,5871.0,,177858.526,35202.94669,17766.75,35202.94669,5871.0,35202.94669,35202.94669,70866.84151,11818.875,29662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0,42.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,33.4863096528161,33.4863096528161,33.4863096528161,33.4863096528161,33.4863096528161,33.4863096528161,33.4863096528161,33.4863096528161,,,,,,,,,33.4863096528161,94375.0,62500.0,110209.7114,128592.4542,64500.0,66500.0,839.0373729,146975.1969,66928.7014,85750.0,70186.46365,68500.0,63670.93915,73444.2259,91826.96866,77125.0,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.0,,1.0,,2.0,0.1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,23714.625,5871.0,106530.7363,142194.6312,5871.0,5871.0,,177858.526,35202.94669,17766.75,35202.94669,5871.0,35202.94669,35202.94669,70866.84151,11818.875,29662.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,42.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,65.5666758135662,65.5666758135662,65.5666758135662,65.5666758135662,65.5666758135662,65.5666758135662,65.5666758135662,65.5666758135662,,,,,,,,,65.5666758135662,94375.0,62500.0,110209.7114,128592.4542,64500.0,66500.0,1642.847241,146975.1969,66928.7014,85750.0,70186.46365,68500.0,63670.93915,73444.2259,91826.96866,77125.0,103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
